Kód ORP,Název ORP,Kód okresu,Název okresu,Kód kraje,Název kraje,Lidé v exekuci (2021) [%],Lidé v exekuci (2021) / Průměr ČR [%],Lidé v exekuci (2021) / Průměr kraje [%],Lidé v exekuci (2021) / Průměr okresu [%],Lidé v exekuci (2021) / Průměr sociálně podobných ORP [%],Podíl lidí bez středního vzdělání (2021) [%],Podíl lidí bez středního vzdělání (2021) / Průměr ČR [%],Podíl lidí bez středního vzdělání (2021) / Průměr kraje [%],Podíl lidí bez středního vzdělání (2021) / Průměr okresu [%],Podíl lidí bez středního vzdělání (2021) / Průměr sociálně podobných ORP [%],Domácnosti čerpající přídavek na živobytí (2020) [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr ČR [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr kraje [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr okresu [%],Domácnosti čerpající přídavek na živobytí (2020) / Průměr sociálně podobných ORP [%],Propadání (průměr 2015–2021) [%],Propadání (průměr 2015–2021) / Průměr ČR [%],Propadání (průměr 2015–2021) / Průměr kraje [%],Propadání (průměr 2015–2021) / Průměr okresu [%],Propadání (průměr 2015–2021) / Průměr sociálně podobných ORP [%],Názvy sociálně podobných ORP,Kódy sociálně podobných ORP
7108,Prostějov,40797,Prostějov,3123,Olomoucký kraj,5.5,6.3,5.7,5.4,5.3,12.9,13.2,13.5,13.1,13.8,5.3,3.9,4.5,4.9,2.7,1.6,1.4,1.5,1.6,1.2,"Břeclav, Dačice, Frýdek-Místek, Hlučín, Kopřivnice, Kralupy nad Vltavou, Kravaře, Kroměříž, Mladá Boleslav, Nový Jičín, Nymburk, Nýřany, Olomouc, Písek, Semily, Soběslav, Strakonice, Tábor, Uničov, Vodňany","6204, 3104, 8106, 8109, 8112, 2111, 8113, 7203, 2115, 8115, 2118, 3208, 7107, 3108, 5107, 3110, 3111, 3112, 7112, 3117"
7101,Hranice,40801,Přerov,3123,Olomoucký kraj,4.0,6.3,5.7,5.9,4.9,13.2,13.2,13.5,13.5,13.8,3.6,3.9,4.5,6.6,2.3,1.2,1.4,1.5,1.8,1.6,"Blatná, Břeclav, České Budějovice, Dačice, Frýdek-Místek, Hlučín, Ivančice, Jičín, Kostelec nad Orlicí, Kralupy nad Vltavou, Kroměříž, Moravské Budějovice, Nymburk, Nýřany, Poděbrady, Pohořelice, Přelouč, Sušice, Tábor, Trhové Sviny","3101, 6204, 3102, 3104, 8106, 8109, 6208, 5207, 5208, 2111, 7203, 6106, 2118, 3208, 2119, 6213, 5311, 3214, 3112, 3113"
7104,Lipník nad Bečvou,40801,Přerov,3123,Olomoucký kraj,6.6,6.3,5.7,5.9,5.6,13.4,13.2,13.5,13.5,14.5,6.4,3.9,4.5,6.6,2.7,0.7,1.4,1.5,1.8,1.6,"Beroun, Bílovec, Bučovice, Česká Třebová, Český Brod, Domažlice, Dvůr Králové nad Labem, Jindřichův Hradec, Kralovice, Kutná Hora, Moravský Krumlov, Nepomuk, Nový Bydžov, Nový Jičín, Rakovník, Semily, Soběslav, Stod, Třeboň, Vrchlabí","2102, 8101, 6205, 5301, 2106, 3202, 5203, 3105, 3206, 2112, 6212, 3207, 5212, 8115, 2121, 5107, 3110, 3212, 3114, 5215"
7109,Přerov,40801,Přerov,3123,Olomoucký kraj,6.5,6.3,5.7,5.9,7.6,13.6,13.2,13.5,13.5,15.6,7.9,3.9,4.5,6.6,4.7,2.2,1.4,1.5,1.8,2.0,"Bohumín, Český Krumlov, Jablonec nad Nisou, Jaroměř, Kaplice, Karlovy Vary, Kladno, Liberec, Litoměřice, Lovosice, Mělník, Neratovice, Odry, Roudnice nad Labem, Slaný, Stříbro, Šternberk, Šumperk, Tachov, Trutnov","8102, 3103, 5103, 5206, 3106, 4103, 2109, 5105, 4205, 4208, 2114, 2117, 8116, 4211, 2124, 3213, 7110, 7111, 3215, 5214"
7106,Mohelnice,40819,Šumperk,3123,Olomoucký kraj,4.0,6.3,5.7,5.6,4.4,15.2,13.2,13.5,15.0,13.4,1.0,3.9,4.5,3.7,2.1,0.8,1.4,1.5,1.3,1.2,"Benešov, Blovice, Bystřice nad Pernštejnem, Bystřice pod Hostýnem, Dobříš, Hradec Králové, Chrudim, Jihlava, Klatovy, Kyjov, Milevsko, Náchod, Otrokovice, Rychnov nad Kněžnou, Sedlčany, Ústí nad Orlicí, Veselí nad Moravou, Votice, Zábřeh, Železný Brod","2101, 3201, 6101, 7201, 2107, 5205, 5304, 6105, 3205, 6210, 3107, 5209, 7205, 5213, 2123, 5313, 6218, 2126, 7113, 5110"
7111,Šumperk,40819,Šumperk,3123,Olomoucký kraj,6.6,6.3,5.7,5.6,6.8,15.2,13.2,13.5,15.0,15.2,4.8,3.9,4.5,3.7,4.7,1.5,1.4,1.5,1.3,1.8,"Český Těšín, Horšovský Týn, Jaroměř, Kladno, Kolín, Králíky, Liberec, Litoměřice, Lovosice, Mělník, Moravská Třebová, Neratovice, Prachatice, Přerov, Roudnice nad Labem, Slaný, Svitavy, Šternberk, Trutnov, Znojmo","8104, 3204, 5206, 2109, 2110, 5305, 5105, 4205, 4208, 2114, 5308, 2117, 3109, 7109, 4211, 2124, 5312, 7110, 5214, 6220"
7113,Zábřeh,40819,Šumperk,3123,Olomoucký kraj,4.4,6.3,5.7,5.6,4.4,14.2,13.2,13.5,15.0,13.0,3.0,3.9,4.5,3.7,2.0,1.4,1.4,1.5,1.3,1.4,"Benešov, Blovice, Bystřice nad Pernštejnem, Bystřice pod Hostýnem, Dobříš, Hořice, Hradec Králové, Chrudim, Jihlava, Klatovy, Kyjov, Litovel, Milevsko, Mohelnice, Otrokovice, Praha, Rychnov nad Kněžnou, Veselí nad Moravou, Vysoké Mýto, Vyškov","2101, 3201, 6101, 7201, 2107, 5204, 5205, 5304, 6105, 3205, 6210, 7105, 3107, 7106, 7205, 1000, 5213, 6218, 5314, 6219"
7201,Bystřice pod Hostýnem,40827,Kroměříž,3131,Zlínský kraj,4.6,6.3,4.0,5.1,4.5,12.5,13.2,13.5,13.3,13.3,3.0,3.9,1.8,3.4,2.0,2.3,1.4,0.8,1.0,1.1,"Benešov, Blovice, Bystřice nad Pernštejnem, Dobříš, Hradec Králové, Chrudim, Jihlava, Klatovy, Milevsko, Mohelnice, Náchod, Otrokovice, Pardubice, Rychnov nad Kněžnou, Sedlčany, Ústí nad Orlicí, Veselí nad Moravou, Votice, Zábřeh, Železný Brod","2101, 3201, 6101, 2107, 5205, 5304, 6105, 3205, 3107, 7106, 5209, 7205, 5309, 5213, 2123, 5313, 6218, 2126, 7113, 5110"
7202,Holešov,40827,Kroměříž,3131,Zlínský kraj,4.1,6.3,4.0,5.1,4.1,14.3,13.2,13.5,13.3,13.0,2.0,3.9,1.8,3.4,1.8,0.4,1.4,0.8,1.0,1.1,"Blansko, Boskovice, Horažďovice, Hořice, Hořovice, Hustopeče, Konice, Kyjov, Litovel, Mnichovo Hradiště, Nové Město nad Metují, Praha, Přeštice, Rosice, Světlá nad Sázavou, Třebíč, Uherské Hradiště, Vsetín, Vysoké Mýto, Vyškov","6201, 6202, 3203, 5204, 2108, 6207, 7103, 6210, 7105, 2116, 5211, 1000, 3210, 6214, 6111, 6113, 7207, 7212, 5314, 6219"
7203,Kroměříž,40827,Kroměříž,3131,Zlínský kraj,5.6,6.3,4.0,5.1,5.1,13.2,13.2,13.5,13.3,13.7,4.0,3.9,1.8,3.4,2.8,0.9,1.4,0.8,1.0,1.2,"Břeclav, Dačice, Frýdek-Místek, Hlučín, Hranice, Kopřivnice, Kralupy nad Vltavou, Kravaře, Mladá Boleslav, Nový Jičín, Nymburk, Nýřany, Olomouc, Písek, Prostějov, Strakonice, Sušice, Tábor, Uničov, Vodňany","6204, 3104, 8106, 8109, 7101, 8112, 2111, 8113, 2115, 8115, 2118, 3208, 7107, 3108, 7108, 3111, 3214, 3112, 7112, 3117"
